member,start,end,duration
298,0:27:59.244,0:28:19.831,0:00:20.587
299,0:28:31.409,0:28:45.457,0:00:14.047
300,0:28:46.091,0:28:47.892,0:00:01.801
301,0:29:13.818,0:29:29.134,0:00:15.315
302,0:29:26.231,0:29:40.979,0:00:14.748
305,0:29:31.002,0:29:33.004,0:00:02.001
306,0:29:41.980,0:29:43.581,0:00:01.601
307,0:30:08.039,0:30:13.311,0:00:05.271
308,0:30:13.745,0:30:14.245,0:00:00.500
309,0:30:24.255,0:30:25.323,0:00:01.067
310,0:31:02.026,0:32:45.163,0:01:43.136
312,0:31:37.762,0:31:56.414,0:00:18.651
313,0:32:21.205,0:32:21.205,0:00:00.000
323,0:32:42.026,0:32:42.560,0:00:00.533
324,0:32:42.927,0:32:47.966,0:00:05.038
325,0:32:45.930,0:34:00.104,0:01:14.174
326,0:32:48.199,0:34:11.482,0:01:23.283
328,0:32:53.972,0:32:54.272,0:00:00.300
329,0:32:54.605,0:32:59.711,0:00:05.105
330,0:33:44.489,0:33:44.956,0:00:00.467
331,0:33:46.024,0:33:48.526,0:00:02.502
332,0:33:45.256,0:33:49.527,0:00:04.270
333,0:33:48.393,0:33:48.926,0:00:00.533
335,0:33:49.193,0:33:53.498,0:00:04.304
336,0:33:49.627,0:34:08.913,0:00:19.285
338,0:33:53.731,0:34:20.324,0:00:26.593
342,0:33:55.533,0:34:05.543,0:00:10.010
343,0:33:57.535,0:33:58.236,0:00:00.700
344,0:33:58.703,0:34:15.953,0:00:17.250
345,0:33:58.536,0:34:04.342,0:00:05.805
346,0:34:01.072,0:34:06.744,0:00:05.672
350,0:34:07.111,0:34:19.991,0:00:12.879
352,0:34:19.157,0:34:29.867,0:00:10.710
354,0:34:23.694,0:34:25.596,0:00:01.901
355,0:34:24.328,0:34:27.365,0:00:03.036
356,0:34:27.732,0:34:35.039,0:00:07.307
357,0:34:30.768,0:34:49.687,0:00:18.918
358,0:34:32.036,0:34:47.218,0:00:15.181
360,0:34:35.373,0:34:35.907,0:00:00.533
361,0:34:47.018,0:34:54.959,0:00:07.941
365,0:34:47.819,0:34:49.353,0:00:01.534
366,0:34:50.555,0:34:52.890,0:00:02.335
367,0:34:55.460,0:34:56.094,0:00:00.633
368,0:35:13.945,0:35:14.579,0:00:00.633
369,0:35:14.879,0:35:20.852,0:00:05.972
370,0:35:22.653,0:35:32.096,0:00:09.442
371,0:35:27.291,0:35:52.583,0:00:25.291
372,0:35:32.663,0:35:33.264,0:00:00.600
375,0:35:52.049,0:35:52.450,0:00:00.400
377,0:35:52.683,0:35:57.255,0:00:04.571
378,0:35:53.818,0:35:56.254,0:00:02.435
379,0:36:15.806,0:36:17.575,0:00:01.768
380,0:36:17.842,0:36:19.310,0:00:01.468
381,0:36:18.442,0:36:36.928,0:00:18.485
